displayName,formattedAddress,lat,lng,types,rating,userRatingCount,id,city,main_category
Sharjah Hotel & Restaurant,"3JF5+8GM, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.073325100000005,72.6088106,restaurant,4.0,359.0,ChIJi3KFDrv73jgR04eyR1VF4dU,Topi,restaurants
Tahir Khan Restaurant,"Tarbela Rd, Right Bank Colony Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0673451,72.63902460000001,restaurant,4.2,63.0,ChIJ-88oVp353jgRQ2rkOgAmKUc,Topi,restaurants
Abaseen Resturant Swabi,"3M24+4X3, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.050274,72.6574296,restaurant,4.1,795.0,ChIJa2qPzM3_3jgR8Qw6JL1NAPY,Topi,restaurants
Baboo Restaurant,"3J99+8FC, Main Bazaar Rd, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0683017,72.6186281,restaurant,4.4,25.0,ChIJV1VV-l753jgR_W-6uXNW_B0,Topi,restaurants
PAK SARHAD HOTEL,"3J99+48W, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0678538,72.61831819999999,restaurant,4.1,95.0,ChIJH0mk41753jgRvSctoGf9XVc,Topi,restaurants
Raju Hotel,"GIKI Market, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0705345,72.6473182,restaurant,3.8,536.0,ChIJZSm0fjz53jgRtxuIHX5QA1Q,Topi,restaurants
Sheikh Burgers,"Topi, Swabi, Khyber Pakhtunkhwa 23460, Pakistan",34.0681442,72.6216441,restaurant,4.2,59.0,ChIJcU14C3n53jgRfoz2G5r20-w,Topi,restaurants
Ayan Gardens,"Residential Colony Rd, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0709557,72.6473175,restaurant,3.9,24.0,ChIJh3tNYzz53jgRVucLwG3lX9g,Topi,restaurants
New kabul restaurant,"3J88+X8W, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0674891,72.61583499999999,restaurant,4.1,65.0,ChIJyTZFVJf53jgRrDktnqJfr18,Topi,restaurants
Sultan kaka cafe,"3J96+XXQ, Topi, Swabi, Khyber Pakhtunkhwa, Pakistan",34.0699584,72.61247019999999,restaurant,4.0,13.0,ChIJ13ro8n373jgRhu_T8bfC38I,Topi,restaurants
